stock_id,buy_time,sell_time,buy_price,sell_price,volumn,buy_cost,sell_cost,revenue
3048,2021-02-26,2021-03-16,24.05,32,1,24070,116,7814
1712,2021-03-29,2021-04-14,22.6,21.75,1,22620,85,-955
1310,2021-03-24,2021-04-21,19.05,21.65,1,19070.00,84,2496.00
2012,2021-03-23,2021-04-23,19.95,25.10,1,19970.00,95,5232.00
2012,2021-03-23,2021-04-23,0,0,0,0,0,590
2419,2021-04-28,2021-05-03,25.55,23.55,1,25570.00,90,-2110.00
3049,2021-03-29,2021-05-03,11.70,13.50,1,11720.0,60,1720.00
2329,2021-04-08,2021-05-04,17.40,17.45,1,17420.0,72,-42.00
2442,2021-03-23,2021-05-04,10.80,11.20,1,10820.0,53,327.00
5519,2021-04-07,2021-05-04,19.10,22.25,1,19120.0,86,3044.00
1417,2021-04-12,2021-05-04,12.55,13.90,1,12570.00,61,1269.00
2527,2021-03-18,2021-05-05,21.40,22.90,1,21420.0,88,1392.00
1732,2021-04-29,2021-05-05,28.50,28.40,1,28526.00,105,-225.00
1712,2021-03-29,2021-05-10,0,0,0,0,0,1290
2855,2021-03-22,2021-05-12,20.90,27.40,1,20920.0,102,6378.00
2880,2021-04-13,2021-05-12,18.80,17.80,1,18820.0,73,-1093.00
2892,2021-04-14,2021-05-12,22.30,20.70,1,22320.0,82,-1702.00
2890,2021-04-15,2021-05-12,12.85,12.60,1,12870.00,57,-327.00
2887,2021-04-15,2021-05-17,13.50,13.65,1,13520.0,60,70.00
6165,2021-05-25,2021-06-02,32.80,30.60,1,32820.00,111,-2331.00
3535,2021-05-25,2021-06-07,16.65,16.50,1,16670.00,69,-239.00
6205,2021-06-02,2021-06-07,31.60,29.65,1,31620.00,108,-2078.00
1108,2021-06-03,2021-06-07,14.50,13.65,1,14520.00,60,-930.00
4960,2021-05-31,2021-06-09,12.55,11.80,1,12570.00,55,-825.00
2390,2021-06-08,2021-06-15,25.00,29.75,1,25020.00,109,4621.00
8213,2021-06-11,2021-06-29,50.60,47.95,1,50647.00,163,-2835.00
1732,2021-06-28,2021-06-30,36.85,34.80,1,36884.00,124,-2194.00
1417,2021-06-25,2021-07-06,15.90,15.85,1,15920.00,67,-137.00
2885,2021-06-28,2021-07-12,26.55,25.60,1,26570.00,96,-1066.00
2390,2021-07-07,2021-07-13,26.80,25.40,1,26820.00,96,-1516.00
8478,2021-06-21,2021-07-13,57.60,68.60,1,57624.00,234,10742.00
6172,2021-07-05,2021-07-13,40.60,39.50,1,40620.00,138,-1258.00
2392,2021-05-27,2021-07-20,40.25,42.45,1,40270.00,146,1584.00
8213,2021-06-11,2021-07-27,0,0,0,0,0,3490.0
2885,2021-06-28,2021-07-12,0,0,0,0,0,1190.0
00639,2021-05-21,2021-07-27,17.25,16.45,1,17270.00,36,-856.00
00739,2021-04-26,2021-07-28,28.09,26.70,1,28110.00,46,-1456.00
4942,2021-05-31,2021-07-28,42.80,50.40,1,42820.00,171,7408.00
8103,2021-07-02,2021-07-28,43.65,45.60,1,43690.00,156,1774.00
8478,2021-07-23,2021-07-28,69.90,67.70,1,69965.00,232,-2462.00
